gene,gs001,gs002,gs003,gs004,gs005,gs006,gs007,gs008,gs009,gs010,gs011,gs012,gs013,gs014,gs015,gs016,gs017,gs018,gs019,gs020,gs021,gs022,gs023,gs024
ANGPT1,104.81230594572,125.626444810108,111.347656413836,123.667884217557,109.323235391054,122.563534616037,117.078688770454,128.594998061045,110.612526671114,104.23037344194,130.009806256471,126.432297269488,105.293491364602,122.225446479642,128.876793295724,122.644532108509,111.024943318138,113.920956756184,128.673227668146,128.156055643687,118.35406426698,126.231117784597,140.640408713704,136.865590299799
ANGPT2,121.42190634149,98.7064923507993,129.062056297855,123.667884217557,128.615571048299,116.026812769848,125.697978741285,120.19009622699,103.238358226373,104.23037344194,117.221956460753,117.135804823202,104.219067983331,118.058669895108,114.341816608237,125.134776415281,115.852114766753,113.199938042537,120.309467869716,115.735644964564,120.566289767298,131.490747692289,145.035421486007,118.741836333159
ANGPTL4,121.994651182724,139.086421039763,172.082741730474,141.989052249787,118.227390309782,110.579544564691,112.050769620803,131.956958794667,70.0546002250391,113.118234743191,116.511520360991,114.036974007774,138.600616184017,112.502967782397,154.07075288737,108.948188421264,166.192617016592,98.7795637696022,113.232440347968,149.044928149487,163.151630648407,194.606306584588,395.551149507292,140.615332499793
ANKRD28,133.449548007393,134.599762296544,121.470170633276,105.346716185326,110.807261210842,123.652988257068,101.276657157264,112.62568457634,114.299610893485,127.662007781601,103.723670565272,95.443989115202,130.005229133845,120.836520951464,105.620830595744,130.737826105517,117.231306609214,117.526050324417,118.379369454694,107.267183137888,116.694895141742,123.601302830752,118.665344852187,103.117910499848
ANLN,129.440334118759,109.923139208845,126.531427742996,96.1861321692108,118.722065583045,122.018807795521,124.979704577049,105.061272925691,88.4900213368914,131.701944736715,164.821175144816,111.557909355431,131.079652515117,113.197430546486,135.659782416552,158.130513480006,166.882212937822,199.722183680145,189.149644672174,111.219131990337,116.141838766663,120.971487876906,109.875319307581,120.616707433156
ANP32B,172.9689420525,154.789726641026,146.776456181875,178.631388314249,153.349334711433,140.539519693055,126.416252905521,153.809703563211,206.476716452747,175.333263851946,164.110739045054,149.36364530366,192.321785247589,179.865855899018,141.473773091547,154.395147019849,164.81342517413,183.859771979916,170.492026660293,130.414312130801,128.309079018408,155.159082276901,228.540664159768,154.364387233107
ANXA1,157.504831339197,253.496218991825,199.919655833933,96.1861321692108,171.15764454889,160.149685231621,143.654832847183,172.300487598132,92.1771055592619,194.724961236493,177.609024940534,185.929848925718,159.014660428174,134.031313469152,138.566777754049,146.924414099533,154.46948635567,117.526050324417,135.750255189894,147.351235784152,155.408841397296,194.606306584588,281.280817427407,131.86593403314
APC,130.013078959992,116.653127323672,124.000799188136,87.0255481530955,148.897257252069,134.547524667383,137.19036536906,138.680880261911,114.299610893485,125.238045608533,153.454197548622,136.34855587886,176.205434528518,134.725776233241,131.783788633222,159.375635633392,145.504739379672,174.486528702509,163.414999138545,167.110980046394,196.335013153168,126.231117784597,131.850383169097,138.115504366464
APH1B,112.257988881755,89.733174864363,154.368341846455,109.927008193384,122.184792495884,118.205720051911,119.233511263162,105.061272925691,140.109200450078,136.549869082852,124.326317458374,108.459078540002,139.675039565288,108.336191197864,125.000799512394,113.306115958115,123.43766990029,109.594844474303,117.736003316353,116.86477320812,111.717387766028,110.452228061523,118.665344852187,100.618082366519
API5,145.477189673295,172.736361613899,217.634055717952,196.952556346479,143.950504519442,139.99479287254,161.611686953081,149.607252646183,147.483368894819,159.17351603149,164.821175144816,136.968322041946,164.386777334532,146.531643222752,131.783788633222,159.375635633392,168.951000701515,167.997360279688,160.841534585182,149.609492271265,136.604924644599,115.711857969214,162.61547257522,171.863184166414
APLNR,140.895230943427,132.356432924935,202.450284388793,128.248176225614,110.312585937579,114.937359128817,139.345187861768,111.785194392935,92.1771055592619,154.325591685353,485.22785613754,115.276506333945,426.546082364765,104.169414613331,210.272662745655,348.011641871353,256.52968269781,276.150167326698,251.556160091225,198.726570865982,167.023025273963,178.827416861513,127.455370396794,174.363012299744
APOA1,126.576609912591,123.383115438499,98.6945136395365,73.2846721289225,118.722065583045,88.7904717440622,130.007623726701,99.1778416418518,151.17045311719,103.422386050917,113.669775961942,112.177675518517,116.037725177316,261.812462061505,113.372818162404,112.683554881422,129.644033191366,120.410125179004,105.512046687879,114.041952599228,117.247951516821,155.159082276901,92.295268218368,133.740805133137
APOA2,113.976223405456,112.166468580454,98.6945136395365,128.248176225614,100.913755745588,106.766456821081,99.1218346645564,105.901763109096,73.7416844474095,100.190436486826,103.01323446551,121.474167964803,122.484265464945,117.364207131019,97.8688430290839,110.19331057465,120.679286215368,111.036881901597,91.3579916443834,113.47738847745,121.672402517456,102.562783199985,131.850383169097,116.242008199829
APOA4,144.331699990828,157.033056012635,103.755770749256,105.346716185326,138.01440124029,131.823890564804,181.723363551687,146.245291912561,125.360863560596,103.422386050917,127.878497957185,149.983411466746,112.814455033502,123.614372007819,140.504774645714,146.924414099533,132.402416876289,138.435593020172,122.882932423079,145.657543418817,137.157981019678,120.971487876906,145.035421486007,151.239602066444
APOB,123.140140865191,98.7064923507993,177.143998840194,141.989052249787,140.982452879866,125.287168718615,118.515237098926,126.073527510829,95.8641897816324,107.462323006031,115.801084261228,136.34855587886,127.856382371302,140.281478345952,140.504774645714,146.924414099533,151.021506749517,128.341331029118,124.813030838101,143.963851053481,116.694895141742,165.678342092284,96.6902809906713,146.239945799785
APOC2,180.414624988535,157.033056012635,179.674627395054,141.989052249787,164.232190723212,166.141680257294,155.147219474958,161.374115213861,129.047947782967,178.565213416037,166.952483444102,161.139202402289,175.131011147246,136.114701761419,221.900644095646,240.308575603474,235.152209139659,268.939980190231,294.018325221713,140.011902201033,136.604924644599,134.120562646135,109.875319307581,173.738055266411
APOC3,100.803092057086,83.0031867495358,126.531427742996,119.087592209499,109.323235391054,112.213725026238,123.543156248578,114.306664943151,114.299610893485,128.469995172624,133.561986755282,118.375337149374,116.037725177316,126.392223064175,116.279813499902,115.173799188194,132.402416876289,111.757900615243,124.813030838101,112.348260233893,117.247951516821,105.192598153831,303.255881288923,113.7421800665
APOE,87.6299607087171,67.2998811482722,73.3882280909374,105.346716185326,76.6746673557167,76.8064816927164,69.6725939308838,42.8649993536817,92.1771055592619,79.1827643202336,90.2253846697915,68.17427793943,79.5073302140872,88.1967710392868,82.3648678957637,86.5359896603185,63.4428247532218,74.98594621926,82.3508657076132,68.3122587351814,64.7075958842835,71.0050037538361,39.5551149507292,65.6204884999036
APOL6,179.269135306068,224.332937160907,220.164684272812,256.496352451229,184.513876926983,173.223128923999,168.79442859544,164.736075947483,147.483368894819,213.308671230017,157.716814147195,190.268212067318,146.121579852917,154.865196391819,153.101754441537,204.200033155284,164.81342517413,134.830499451939,164.701731415226,155.819697610827,152.6435595219,136.750377599981,197.775574753646,176.237883399741
APOM,103.09407142202,123.383115438499,93.6332565298167,128.248176225614,112.29128703063,119.839900513458,109.895947128095,113.466174759746,132.735032005337,138.97383125592,126.457625757661,112.797441681602,100.995797839516,134.031313469152,102.713835258246,123.889654261895,122.74807397906,128.341331029118,129.959959944827,119.687593817012,133.286586394122,110.452228061523,83.5052426737615,129.991062933142
APP,176.405411099901,168.249702870681,202.450284388793,242.755476427056,190.449980206135,167.775860718841,176.695444402035,238.699212087169,151.17045311719,202.804835146721,294.830981401287,186.549615088804,255.712764742605,177.088004842663,218.024650312316,288.245778508831,293.078266523035,316.527215290915,295.948423636735,264.216008992272,490.007948320301,184.087046769205,307.650894061227,218.734961666345
AQP9,180.414624988535,190.682996586771,192.327770169353,137.40876024173,193.912707118974,199.914743129269,156.58376780343,169.779017047916,95.8641897816324,210.884709056949,112.248903762418,225.594883363205,110.665608270959,150.003957043196,121.124805729064,91.516478273862,86.1994901538339,116.80503161077,99.7217514428128,121.945850304125,123.331571642694,139.380192553826,162.61547257522,143.740117666455
AR,110.539754358055,100.949821722408,93.6332565298167,105.346716185326,112.29128703063,112.213725026238,109.177672963859,98.3373514584463,117.986695115855,106.654335615008,109.407159363369,112.797441681602,105.293491364602,118.058669895108,129.845791741557,132.605509335596,118.610498451675,128.341331029118,126.099763114783,117.993901451677,103.974598514917,136.750377599981,74.7152171291551,113.7421800665
AREG,108.821519834355,107.679809837236,78.4494852006572,128.248176225614,97.9457041060122,93.6930131287036,99.1218346645564,109.263723842718,77.42876866978,90.4945877945526,80.2792792731216,110.318377029259,98.8469510769733,113.197430546486,95.9308461374189,95.8744058107125,94.474641208602,107.431788333363,117.736003316353,115.171080842785,101.20931663952,139.380192553826,114.270332079884,92.4936409331974
ARG1,138.03150673726,145.81640915459,172.082741730474,128.248176225614,136.530375420502,135.092251487898,104.149753814208,126.073527510829,143.796284672449,122.006096044441,129.299370156709,139.447386694289,152.568120140546,132.642387940975,115.310815054069,124.512215338588,115.852114766753,118.968087751711,154.407873201775,121.945850304125,120.013233392218,113.082043015369,114.270332079884,118.741836333159
ARG2,124.285630547658,100.949821722408,111.347656413836,123.667884217557,116.248689216732,131.823890564804,125.697978741285,120.19009622699,92.1771055592619,113.926222134214,124.326317458374,111.557909355431,133.22849927766,113.891893310575,105.620830595744,133.850631488982,101.370600420909,131.225405883705,115.16253876299,136.624517470363,162.045517898248,115.711857969214,105.480306535278,115.617051166497
ARID1A,124.285630547658,121.13978606689,121.470170633276,77.8649641369802,116.743364489994,117.660993231395,130.725897890937,126.914017694234,154.85753733956,121.198108653419,128.588934056947,122.093934127888,142.898309709103,130.558999648708,136.628780862384,153.772585943156,137.919184246134,134.109480738292,136.393621328234,132.108004496136,131.074360893805,142.010007507672,118.665344852187,133.740805133137
ARID1B,123.140140865191,112.166468580454,73.3882280909374,105.346716185326,107.344534298003,105.132276359534,109.177672963859,133.637939161478,151.17045311719,112.310247352168,102.302798365748,114.036974007774,103.144644602059,122.225446479642,99.8068399207489,133.228070412289,130.333629112597,108.873825760656,130.603326083168,106.70261901611,118.35406426698,118.34167292306,140.640408713704,115.617051166497
ARID2,121.42190634149,107.679809837236,108.817027858976,109.927008193384,134.551674327451,118.750446872427,119.951785427398,117.668625676773,99.5512740040028,134.933894300806,120.063700859801,118.375337149374,130.005229133845,119.447595423286,119.186808837399,107.703066267878,116.541710687983,121.852162606298,119.022735593035,120.25215793879,116.694895141742,126.231117784597,127.455370396794,131.86593403314
ARMH3,135.740527372326,168.249702870681,121.470170633276,132.828468233672,124.163493588935,140.539519693055,153.710671146486,145.404801729156,143.796284672449,137.357856473875,157.716814147195,125.812531106403,154.716966903089,121.530983715553,135.659782416552,138.831120102525,146.883931222133,132.667443310999,133.176790636531,135.495389226806,138.264093769837,136.750377599981,127.455370396794,151.239602066444
ARNT,112.257988881755,103.193151094017,91.1026279749568,82.4452561450378,115.259338670206,100.774461795408,112.050769620803,118.509115860179,147.483368894819,113.926222134214,121.484573059326,99.1625860937164,106.367914745873,115.280818838753,105.620830595744,127.002459645359,122.058478057829,108.873825760656,120.952834008057,119.123029695234,106.739880390314,105.192598153831,92.295268218368,138.115504366464
ARNT2,125.431120230124,107.679809837236,182.205255949914,96.1861321692108,131.583622687875,118.205720051911,101.9949313215,122.711566777206,114.299610893485,107.462323006031,107.986287163845,122.713700290974,121.409842083674,115.975281602842,126.938796404059,133.228070412289,121.368882136598,115.362994183477,122.882932423079,106.70261901611,134.945755519361,110.452228061523,219.750638615162,117.491922266494
ASCL1,119.130926976557,127.869774181717,108.817027858976,87.0255481530955,173.136345641941,120.92935415449,139.345187861768,115.987645309962,110.612526671114,118.77414648035,116.511520360991,123.953232617145,134.302922658931,147.92056875093,137.597779308217,132.605509335596,146.194335300902,146.366798870286,148.617577956708,146.786671662373,124.437684392853,139.380192553826,123.060357624491,128.741148866477
ASL,146.622679355762,199.656314073208,118.939542078416,137.40876024173,159.780113263848,136.726431949445,147.964477832599,173.981467964943,154.85753733956,168.061377332741,171.215100042675,153.70200844526,137.526192802745,147.226105986841,167.636731129025,138.831120102525,153.77989043444,142.040686588406,142.827282711642,145.657543418817,165.363856148725,173.567786953821,149.43043425831,141.240289533126
ASNS,158.650321021664,159.276385384244,136.653941962435,164.890512290076,141.477128153129,138.905339231508,145.091381175655,160.533625030455,191.728379563265,140.589806037966,118.642828660277,135.109023552689,140.74946294656,177.088004842663,145.349766874877,133.850631488982,165.503021095361,152.855967293107,153.764507063434,169.933800655286,207.396140654755,131.490747692289,118.665344852187,138.115504366464
ASPA,133.449548007393,118.896456695281,136.653941962435,96.1861321692108,120.206091402833,126.376622359647,333.279212205465,133.637939161478,121.673779338226,105.846348223986,116.511520360991,128.911361921831,134.302922658931,134.725776233241,132.752787079054,150.659780559691,151.711102670748,165.834304138748,135.750255189894,136.624517470363,141.029375645233,115.711857969214,123.060357624491,128.116191833145
ASPG,113.976223405456,87.4898454927539,134.123313407575,128.248176225614,122.184792495884,110.034817744175,121.38833375587,123.552056960612,95.8641897816324,115.542196916259,104.434106665034,118.99510331246,113.888878414774,120.142058187375,112.403819716572,122.644532108509,112.404135160599,109.594844474303,111.945708071287,110.654567868558,121.119346142377,144.639822461518,96.6902809906713,126.241320733148
